sira;tistihdam;maas;iistihdam;icsaati;sbu;netsatis;mmaliyeti;katmadeger
108;25,8;1182,1;17,4;34,6;654,8;33374,4;26470;6947,8
109;28,2;140,1;20,5;44,1;96,2;2086,8;1693,9;393,1
110;28,5;144;20,8;46,5;98;2166,4;1758,9;410,9
111;27,2;144,9;19,5;44,8;97;2240,4;1800,6;444,4
112;26,6;151,8;19,4;44,4;100,7;2331,5;1892;447,1
113;25,7;149,5;18,9;43,8;100;2369,5;1929,5;441,3
114;22,4;137,7;16,4;38,4;94,9;2176,6;1804,1;373,1
115;21,9;138,5;16;36,9;93,3;2193,2;1791,4;399,8
116;20,7;133,2;15,1;34,2;90,7;2145,6;1739,5;405,8
117;20,1;133,8;14,7;33,3;90,6;2345;1915;434
118;20,5;142,9;14,8;33,2;95,5;2457,5;1966,1;491,4
119;19,8;147,3;14,4;32,4;98,7;2383,5;1886,1;498,7
120;20;155,9;14,5;32,4;105,4;2387,1;1884,4;497,4
121;19;161,7;13,7;30,6;109,8;2436,5;1906,2;535,2
122;18;160,9;13,2;29,2;111,9;2451,2;1920,8;528,8
123;16,1;152,8;11,9;26,9;108,1;2380,2;1885,3;509,9
124;17;167,9;12,7;28,4;118,5;3328,5;2785,8;589,2
125;17,4;185,3;13;28,1;128,7;4502,5;3902,3;609,2
126;17,7;204;12,9;27,7;139,3;4327,9;3589,7;715
127;17,5;217,1;12,5;26,9;149;4096,2;3344,1;746,2
128;15,6;222,4;11,3;24,6;153,4;3683,7;2854,4;824,7
129;15,1;241,7;11,1;24,4;168,5;3761,3;2934,5;845,5
130;15,3;255,6;11,2;25,2;181,3;4218,7;3281,4;942,7
131;15,5;274;11,3;25,6;195,7;4835,9;3820,1;1030,6
132;15,8;305,8;11,6;26,1;214,6;5314,3;4189,4;1113,9
133;15,1;323,1;11,4;24,2;233,4;4933,4;3825,8;1094,6
134;14,7;335,5;10,9;24,2;237,4;5229,1;4012,4;1198,6
135;13,9;335,6;10,3;22,3;234,5;5306,2;4108,8;1208,2
136;13,3;331,6;9,8;21;230,2;5205,2;4039,3;1159,7
137;13,5;348,8;9,9;21,4;241,4;5003,7;3642,8;1346,2
138;13,3;354,7;9,9;21,4;246,1;4985,4;3657,3;1337
139;12,8;351,1;9,6;21,3;249,6;5205,7;3781,8;1439,7
140;12,3;339,7;9;20;231,8;5777,3;4363;1420,7
141;12,3;351,1;9,1;19,9;240,4;5625,6;4348,5;1251,7
142;12,4;362,1;9,2;20,4;248,6;5208,1;3806,7;1394,9
143;13,1;409;9,5;21,5;276,9;6295,4;4675,8;1625
144;13,4;420,9;9,9;22,1;289,2;6838,1;4991,1;1885,6
145;12,7;397,1;9,2;21,3;270,1;7090;5187,3;1908,4
146;13;418,2;9,4;20,5;272;7258,7;5258,4;2000,3
147;12,6;407,5;8,5;19,8;256,8;7384,6;5873,5;1522,6
148;12,8;444,2;9,3;20,4;296,3;8002;6099,5;1894,6
149;10,9;392,9;8;18;266,7;7359,8;5471,8;1864
150;12,1;410,9;8,9;19,1;271,2;6270,6;4592,8;1666,1
151;12,6;441,4;9,6;20;293,3;6612,1;4498,7;2116
152;11,6;418,5;8,6;19,2;268,8;6255,6;4568,5;1684,4
153;11,6;448,6;8,4;18,4;285,8;6905,7;4922,5;2003,9
154;10,8;444,2;8,2;18,6;290,8;7402;5046,1;2361,1
155;10,6;443;7,8;17,9;289,2;7721,8;5221,9;2507,6
156;10,5;445,8;7,8;17,5;295,6;7637,5;5292,4;2327,5
157;9,7;437;7,3;16,7;291,6;7853,1;5703,1;2121,2
158;10,2;475,2;7,4;17,4;302,2;9733,9;7179,6;2635,4
159;10,3;493,1;7,7;16,8;319,5;12569,9;9786,4;2740,7
160;10;495,8;7,4;16,4;322,4;12548,3;8975,9;3487,1
161;10,2;536,2;7,5;16,5;341,7;11961,3;8392,7;3462,5
162;10,4;546,5;7,6;16,7;347,6;14408;10051,1;4283,8
163;3,6;13,7;2,7;5,8;8,6;297,9;250,4;50,8
164;3,4;13,5;2,6;5,6;8,1;280,5;225;49,6
165;3,6;14,7;2,6;6,2;8,7;301,4;247,7;57,3
166;3,7;16,4;2,6;6,1;9,3;314,4;263,2;59,9
167;4,2;18;3,1;7,7;11,3;381,2;317,7;62,8
168;4,1;19,4;3;7;12,1;403,8;335,1;76,8
169;4;20,2;3;7;12,7;422,8;344,6;66,8
170;4;19,8;3;7,2;13,1;435,8;358,4;80,7
171;3,8;20,1;2,8;6,6;12,7;436,8;355;82,3
172;4;23,3;3;6,9;14,3;523,5;426,9;99,1
173;4;24,7;3;6,7;15,2;531,4;425,1;102,7
174;4;25,4;3;6,8;15,8;553,9;436,8;120,9
175;4;26,1;2,8;6,5;15,6;539,1;432;107,8
176;3,6;25,9;2,6;6,1;15,9;494,8;380,9;123
177;3,8;29,5;2,8;6,3;18,2;649,7;511,3;141,6
178;3,7;33,3;2,7;6,2;19,6;840,6;697,4;158,9
179;4,2;44,7;3,3;6,7;28,3;1357,9;1113,7;253,7
180;4,2;50,4;3,3;7,1;32,4;1368,7;1128;227,8
181;4,5;55,6;3,6;7,3;36,4;1149,8;879,8;267,4
182;4,6;58,6;3,8;8,1;38,8;1206;905,4;325,5
183;4,9;66,8;3,6;7,8;39,3;1438,9;1068,6;348,8
184;5,3;73;3,9;8,2;44,1;1333,9;1008,9;340,1
185;5,4;80,6;4;8,6;50,7;1734,9;1324,9;462
186;4,9;80,3;3,9;8,8;53,8;2216,4;1660,5;541,1
187;5,4;91,2;4,2;8,7;61,1;1846;1430,2;362,4
188;5,2;90,1;3,9;8,2;59,1;1783,1;1337,4;435,6
189;4,9;91,3;3,5;7,5;57,2;1612,7;1228,6;379,7
190;4,7;93,2;3,3;6,9;58;1509,5;1133,1;371,1
191;4,8;94,7;3,7;7,9;63,5;1348,5;985,7;352,1
192;4,5;89,1;3,5;7,3;60,4;1234,9;819,4;469,6
193;4,5;97,9;3,5;7,7;65;1603,4;1163,6;398,4
194;4,7;97,1;3,7;7,9;66,3;1743;1203;553,4
195;4,3;95,7;3,5;7,7;65;1771,7;1180,7;592,5
196;4,2;96,8;3,4;7,5;66;1739,2;1267,9;450,9
197;3,9;94,4;3,1;6,7;65,6;1650,7;1204,4;437
198;3,9;97,9;3,2;7;67,6;1944,3;1393,9;602,6
199;4,1;105,8;3,3;7,1;72,1;2004,1;1417,4;602,6
200;4;106,3;3,1;7,2;71,4;1890,4;1402;477,1
201;3,6;100,1;3;6,5;72,2;2467,7;1630,5;903,9
202;3,8;118,3;3;6,3;80,5;2364,6;1810,9;587,7
203;3,6;120;2,8;6,2;80,3;2257,5;1662,2;601,7
204;4,3;136,6;3,3;6,7;89;2246,1;1622,9;604,9
205;4,2;135,2;3,3;6,8;87,8;1968,6;1405;529,6
206;4,1;135,7;3,1;6,5;88,6;1809,6;1263,4;511,4
207;3,8;131,5;3;6,2;91,5;1758,9;1237,1;530,1
208;3,6;132,3;2,7;6,2;86,6;1936,8;1315,8;640,2
209;3,7;134,1;2,7;6,1;87,5;2074,9;1411,9;696,6
210;3,7;137,1;2,8;6,2;90,9;2106,8;1482,8;662,2
211;3,5;136,6;2,7;6,1;91,1;2223,3;1654,7;618
212;3,8;150,9;3,1;6,5;108,1;2827,3;2156;786
213;3,9;156,6;2,9;6,3;101,5;3651,1;2938,9;817,4
214;3,7;157,4;2,8;6,1;102,3;3644,8;2695,5;1040
215;3,8;170,2;2,8;6,2;108,5;3474,3;2520,3;1032,7
216;3,9;173,5;2,9;6,3;110,4;4185;3018,4;1277,6
217;2,4;16,3;1,8;3,6;10,9;195,3;138;55,1
218;2,5;17,2;1,8;3,6;11,5;203,3;153,2;51,3
219;2,7;19,2;2;4;13,1;205,5;155,8;40
220;2,5;18,5;1,8;3,5;12,2;207,5;164,9;31,9
221;2,3;17,1;1,7;3,3;11,6;190,8;149,3;48,6
222;1,9;15,1;1,5;3;10,8;183,5;131,5;44
223;2,1;17,2;1,6;3,3;12,5;215,5;160,2;58,3
224;1,9;15,8;1,5;3;11,6;204,4;153;50,6
225;1,8;15,3;1,4;2,8;11,1;205,5;157,5;48,5
226;2;17,1;1,5;3,1;12,7;216,5;168,5;47,5
227;2;18,1;1,5;3,1;13,3;216,6;160,5;54
228;2,1;19,8;1,6;3,3;14,7;221,6;163,8;57,7
229;1,9;19,4;1,4;3;14,7;210,1;154,2;57,8
230;1,8;19,8;1,4;2,9;15;217,5;156,2;60,9
231;1,7;20;1,3;2,5;14,8;226,3;168,5;55
232;1,5;20;1,2;2,4;14,6;277,2;215,6;72,6
233;1,7;22,3;1,3;2,6;16,6;478,9;397,6;107,8
234;1,7;23,8;1,3;2,5;17,3;591,4;463,2;121,6
235;1,6;24,4;1,2;2,4;18,2;515,2;436,4;87,4
236;1,6;27,4;1,2;2,5;20;499,3;377,7;101,4
237;1,7;29,8;1,2;2,4;20,8;445,2;339,9;103,3
238;1,5;37,7;1,1;2,2;23,2;538,3;429,2;135,4
239;1,6;39,8;1,2;2,6;25,8;679,9;529,2;162,2
240;1,6;43,9;1,2;2,5;28,4;742,5;542,6;192,2
241;1,7;42,9;1,3;2,7;31,9;661,5;480;166,2
242;1,6;42,9;1,2;2,5;31,2;587,1;414,5;135,7
243;1,6;45;1,2;2,4;32,9;586,7;435,3;162,2
244;1,6;43,7;1,2;2,3;32;571,3;393,4;161,8
245;1,5;41;1,1;2,2;29,6;538,6;368,1;162,5
246;1,4;44,2;1,1;2,2;32,1;530,9;368;153,6
247;1,4;42,8;1;2,1;30,2;613,2;456,1;178
248;1,5;45,9;1,1;2,3;33,8;798,1;565,6;254,6
249;1,4;45,2;1;2,1;33,7;700,4;494,9;170,8
250;1,4;46;1;2;33;610,3;435,9;179,7
251;1,3;44,4;0,9;1,8;30,5;575,8;387,3;175,9
252;1,3;44,7;0,9;1,8;30,4;576,4;399;184,2
253;1,2;43,9;0,8;1,7;29,3;589,7;417,5;165,6
254;1,2;49,3;0,9;1,7;29,3;717,7;531,8;235,4
255;1,2;50,9;0,9;1,6;30,1;854;647,8;257,5
256;1,3;55,9;0,9;1,8;33,7;775,3;552,2;206,7
257;1,2;52,2;0,7;1,6;30,1;619,3;407,1;224,9
258;0,9;38,1;0,6;1,3;23,7;484,2;356,7;106,4
259;0,9;40,2;0,6;1,3;25,1;507,5;393;135,6
260;0,9;39;0,6;1,2;23;499,8;373,8;128,9
261;0,9;41,6;0,6;1,1;23,6;478,9;345,1;132,8
262;0,9;42;0,6;1,5;27,5;529,8;365,7;160,8
263;0,9;42,7;0,7;1,5;27,9;570,1;391;175,3
264;0,9;43,8;0,7;1,6;29,1;581,4;409,2;167
265;0,9;43,8;0,7;1,6;29,2;616,1;455,1;156,2
266;1;48,6;0,7;1,4;31,8;786,6;591,1;199
267;1;50,4;0,8;1,7;32,7;1015,7;805,7;207
268;1;50,7;0,7;1,6;33;1014;739;263,3
269;1;54,8;0,8;1,7;34,9;966,6;691;261,5
270;1;55,9;0,8;1,7;35,5;1164,3;827,5;323,5
271;13,8;78,8;10,4;22,2;56,3;528,5;282;249,4
272;13,3;79,5;7,9;21,3;55,6;557,8;293,6;262,2
273;13,7;83,2;10,1;21,7;57,2;566,4;286,3;277,6
274;13,9;87,4;10,3;21,8;60,2;584,7;307,7;282,3
275;13,9;91,8;10,2;22,1;63;602;321,2;277,1
276;13,2;89,7;9,8;20,9;65,3;622,4;335,8;290,9
277;12,5;95,3;9,2;19,7;66;629,5;345,1;291,8
278;12,9;98,4;9,3;20,4;70,3;679,9;382,1;302,7
279;13,9;106,6;9,9;21;73,6;755,3;417,7;346,6
280;14,1;116,1;9,8;20,3;75,2;751,3;401,7;353,6
281;14,1;120,1;9,9;20,2;78,4;781,1;396,6;382,8
282;13,5;129,8;9,4;20,1;82,2;828,5;436,4;395,9
283;13,5;143,9;9,3;19,9;89,3;830,5;460,7;373,5
284;13;134;9;18;86,7;807,3;475,7;328,4
285;12,1;137,7;8,4;17,1;88,6;832,3;498,7;331,2
286;11,7;143,7;8,2;17;94,1;1123;768,9;359,7
287;11,1;151,4;7,7;15,9;92,5;1852,1;1197,5;673,4
288;10,9;162,9;7,9;16,5;112,7;2141,7;1274,8;872,9
289;11;179,8;8;16,5;126,1;2002,5;1352,4;650,2
290;10,9;191,1;7,8;15,7;132,2;2014,8;1338;666,7
291;11,1;196,9;8,1;15,9;142,8;2122,5;1443,9;690
292;10,8;216,1;7,5;14,9;152,7;2442,4;1615,5;847,5
293;10,7;242,7;7,6;14,9;166,7;3239,1;2018,5;1240,6
294;10,4;266,6;7,4;14,8;185,2;3836;2403,7;1428,7
295;9,5;254,7;6,7;13,8;170,6;3268,4;2101;1157,4
296;8,9;254;6,3;13,5;171,2;3501,2;2279,9;1224,1
297;8,4;247,9;5,9;12,5;167,2;3814,8;2803,4;1020,3
298;8,7;266,5;6,1;13;177,5;4189,7;2826,4;1363,4
299;8,3;263,2;5,6;12,2;167,6;4273,5;2778,7;1472,8
300;8,6;298,9;5,9;12,9;192,8;4788,9;2694,4;2074,5
301;9,2;351,1;6;13,4;194,4;5312,5;3230,7;2120,2
302;9,3;359,4;6;13,5;193,7;6287,9;3745,8;2554,7
303;9,3;355,6;6;13,7;205,7;6696,4;3860,1;2867,7
304;9,7;386,6;6,2;14,5;217,2;7114,1;3867,5;3265,9
305;9,2;371,3;6,1;14,7;233,8;7045,2;3742,3;3257,5
306;9;364,4;6,1;13,9;228,1;6886,2;3644,3;3262,4
307;9;372,8;6,2;13,9;230,7;7623,2;4426,5;3209,5
308;9,2;393,1;6,2;14,5;248,6;8537,1;4507,2;4075,8
309;9;398,9;6,2;14,4;253,2;8956;6201,4;2833,3
310;9,2;422,5;6,4;14,7;274,7;8455,2;5361,4;3071,1
311;9,3;414,3;6;13,9;264,1;7972,1;4988;3007,3
312;9,1;417;5,8;13,2;257,2;7657,4;4675;2936,1
313;9,2;443;5,8;13,6;271;7335;4505;2871,4
314;8,6;439,2;5,7;13,2;267,2;7582,6;4710,1;2869,7
315;9;479,1;6,1;13,6;301,7;7860;4741,4;3150,8
316;8,8;481,5;5,9;12,9;297,1;8203,8;4823,2;3381,2
317;8,8;497,3;5,8;13;301,2;8754,4;5161,9;3590,7
318;8,7;503,6;5,7;12,8;300;9290,9;5414;3864,1
319;8,8;542,8;5,7;12,5;316,6;9939,1;5895,3;4108,8
320;8,4;521;5,4;11,8;307,9;12117,1;6908,8;5257,7
321;8,4;545,9;5,2;11,6;316,6;15321,6;8071,8;7239,7
322;8,5;535,2;5,3;11,5;317,3;16045,6;8283,2;7753,4
323;7,4;503,4;4,5;9,9;294,3;15103,3;8069,5;7122,2
324;7,7;522,1;4,7;10,6;304,2;15708,4;9613,4;6163
325;7,4;38,6;5,2;11,7;25;1020,4;894,1;131,8
326;7,4;39,3;5,6;12,4;26,5;1082,9;951,7;139,3
327;7,1;39;5,1;11,3;24,9;1069,4;945,6;124,3
328;7,1;40;5;10,8;25,2;1212,4;1075,2;156,8
329;6,7;38,1;4,7;10,1;24,3;1270,6;1132,9;139,5
330;6;36,8;4,2;9,3;23,7;1391,1;1260,1;143,6
331;5,9;37,8;4,1;8,9;23,9;1497;1373,1;160,7
332;6,1;39,2;4,2;9,3;25;1635,1;1466,1;148,6
333;6,5;43,6;4,6;10,1;28;1897,6;1714,3;197,8
334;7,3;50,6;5;11,2;31,7;2028,3;1825,4;203,4
335;6,8;50,1;4,6;10,5;31;1811,8;1597,4;239,9
336;6,8;53,4;4,7;10,5;33,4;1917,3;1723,5;225,7
337;7,3;60,4;5;11,5;38,1;2472,8;2136,7;387,8
338;7,3;63,3;5;11,5;40,3;2701,1;2406,3;316,1
339;8,3;75,9;6,1;13,6;50,4;3169,7;2894,3;330,5
340;9,1;90,2;6,8;14,7;59,1;4978,5;4473,3;588,4
341;9,5;104;7,1;14,5;67,9;6919,1;6357,4;653,3
342;8,7;101,5;6,3;13,3;65,8;5815,2;5335,8;321,1
343;8,7;111,9;6,1;13,4;75,8;6363,3;6022,6;589,3
344;8,6;120,4;6,1;13,5;80,9;7156,7;6621,2;352,9
345;9,1;137,8;6,4;13,9;92,4;7774,6;7242,7;578,7
346;9,4;148,9;6,7;14;96,8;8578;7833,2;857,2
347;9,4;164;6,9;14,4;107,4;9207,5;8321,4;799,1
348;9,1;170,1;6,4;13,7;112;8664,5;7908;774
349;8,2;173,9;5,7;12,3;113,4;8123,2;7455,8;640,3
350;7,4;166,4;5,1;11,1;110,5;8553,9;7895,2;838,5
351;7,2;171,9;4,9;10,1;108,6;9430,4;8561;615,2
352;6,7;155,5;4,4;9,3;102,1;8147,5;7469,9;672
353;6,4;153,5;4,2;8,6;98;7379,1;6707,9;638,9
354;6,4;158,9;4,4;9,3;103,4;8567,4;7650,8;955
355;6,1;162,6;4,1;9;105,1;11462,4;10277,5;1332,6
356;5,5;154,7;3,8;8,2;98,7;10124,8;8793,6;1162,6
357;6,3;183,5;4,4;9,4;117,4;10353,9;8984,8;1434,2
358;6,1;181,7;4,2;9,2;115,7;9408,5;8339,3;1120,2
359;6,8;207,6;4,7;10,2;131,8;10055,9;8849,1;1202,7
360;6,9;212,5;4,8;10,3;132,3;11051,5;9586;1451,4
361;6,8;220,9;4,7;10,3;137,6;11798,4;10013,7;1760
362;6,8;223,7;4,7;10,2;137,1;12534,2;10642,8;1970,3
363;6,6;218,1;4,5;9,9;131,6;13404,2;12055,4;1345,2
364;6,6;229,7;4,6;10,2;140,3;14036,3;12449,3;1623,1
365;6,4;238,8;4,5;10;143;12696,2;11250,8;1403
366;6,5;247,1;4,5;10,1;151,2;11014,4;9541,8;1384,1
367;6,5;254,2;4,6;10,3;156,4;10113,1;8545,9;1655,7
368;6,6;266,3;4,7;10,3;162,3;11030,5;8829,8;2253,1
369;7,3;290,7;5,2;11,3;181,4;12783,5;9846,6;3042,8
370;8;326,3;5,7;12,1;199,1;16342,3;12764,7;3641,9
371;6,8;296,5;4,9;10,5;185,2;17207;13287;3912,1
372;6,9;316,8;5;10,6;200,5;17344;13156,4;4221
373;6,8;309,6;5;10,5;203,5;16303,9;12619,8;3881,9
374;6,2;314,8;4,5;9,6;197,9;19367;15312,9;4453,1
375;6,2;327;4,5;9,8;203,3;28915,9;23056,3;5697
376;6;312,1;4,5;9,4;201,7;25577;19303,2;6514,4
377;5,8;303,8;4,3;9,3;199,8;25315,8;19763,5;5847,7
378;5,9;324,8;4,4;9,3;212;29818,3;23314,3;6611,3
379;10,1;39,9;7,6;17,7;26,6;697,6;586,9;100,7
380;10,5;42,4;8,3;20,1;28,9;744,2;634,7;107,2
381;10;40,2;7,9;18,9;26,6;735,3;619,5;108,2
382;9,6;40,7;7,4;18,3;27,2;766,8;651,8;126,5
383;9,7;41,9;7,6;18,6;28,4;783,3;656,4;106,9
384;9,9;46,2;7,7;18,9;31,7;761,4;635,8;138,4
385;9,4;47,4;7,3;19;32,5;748,3;613,5;110,7
386;9,6;46,2;7,6;18,6;31,9;789,3;654,8;140,3
387;8,4;42;6,7;16,1;28,1;794,5;664,6;137
388;6,6;34;5,2;11,7;22,6;614,3;513,3;102,2
389;6,4;33,8;5;10,9;22,7;577,2;483,7;89,6
390;7;39,1;5,4;12,4;27,2;599,7;490,9;96,9
391;5,7;37,2;4,5;10;25,6;589,1;460,8;129,7
392;6,1;41,3;4,7;10,9;28,2;687,5;543,3;143,3
393;6,4;42,3;5,1;11,2;29,5;688,4;568;127,6
394;6,7;45,1;5,4;11,9;32,6;888,9;711;218,5
395;6,9;52,9;5,4;12,4;36,9;1348;1062,3;330,2
396;6,8;58,9;5,2;11,2;38,9;1461,5;1222;255,4
397;6,1;56,7;4,6;9,9;37,1;1219,6;1043;180,2
398;6,3;63,8;4,9;11,1;44,4;1176,8;939;248,8
399;6,8;71,8;5,4;11,8;51,1;1274,8;980,7;270
400;6,4;73,6;5;10,9;52,4;1288,2;1003,3;322,9
401;6,3;78;5;11,1;55,3;1416,7;1119,1;297,3
402;6,6;91,8;5,3;11,2;64,2;1598,2;1246,9;328,9
403;6,1;91,8;5;11;64,8;1423,5;1126,1;273,3
404;5;82,1;4;8,9;55,9;1371,5;1050,9;347,9
405;4,2;73,2;3,3;7,5;50,2;1449,1;1208,2;243,9
